title,Final song title,version
Let's Go To The 33rd Dimension - v6,Let's Go to the 33rd Dimension,6
Let's Go To The 33rd Dimension - v7,Let's Go to the 33rd Dimension,7
Let's Go To The 33rd Dimension - v8 1,Let's Go to the 33rd Dimension,8
Let's Go To The 33rd Dimension - v8 2,Let's Go to the 33rd Dimension,8
Let's Go To The 33rd Dimension - v9,Let's Go to the 33rd Dimension,9
Let's Go to the 33rd Dimenson - v8,Let's Go to the 33rd Dimension,8
Let's Keep It Platonic 2,,2
Let's Keep It Platonic 2,Fake Smiles and Nervous Laughter,2
Little Do They Know 1 SB @84 -5,Little do they Know,1
Little Do They Know 2 piano @88 -5,Little do they Know,2
little do they know 3 bridge whip it @88 -5,Little do they Know,3
Little Do They Know 4 hi sky @89 -5,Little do they Know,4
Living In Harmony 2b @118,Living In Harmony,2b
Lost And Found 7,Lost And Found,7
Lost And Found 8,Lost And Found,8
Lost And Found 8 1,Lost And Found,8
Love Me - v2,Love Me,2
Love Me - v3,Love Me,3
Love Me - v4,Love Me,4
Love Me - v4 1,Love Me,4
Loveable Loser 2 @100,,2
Loveable Loser 3 @100,,3
Loveable Loser 4 all ideas @100,,4
Make Some Noise For That 2 --1 6 3 b6 5 piano @64,,2
Make Some Noise For That 3 --1 6 3 b6 5 piano @64,,3
Make Some Noise For That 4 verse @64,,4
Maybe that Wasn't Such A Good Idea 5 @100,,5
Me Time 3,Fake Smiles and Nervous Laughter,3
Meat Town 2 @115,,2
Medicine 3,Medicine,3
Medicine 4,Medicine,4
Medicine 7,Medicine,7
Medicine 8,Medicine,8
Meet Up With Our Maker - v10,Meet Up With Our Maker,10
Meet Up With Our Maker - v4,Meet Up With Our Maker,4
Meet Up With Our Maker - v5,Meet Up With Our Maker,5
Meet Up With Our Maker - v7,Meet Up With Our Maker,7
Meet Up With Our Maker - v9,Meet Up With Our Maker,9
Meet Up With Our Maker 10,Meet Up With Our Maker,10
Metropolis 3,,3
Minor Grand Melody 1,,1
Minor Grand Melody 2 Chord Idea,,2
Moan Man 2,,2
Movies 2 Tight Black Dress,,2
Movies And Ice Cream 1 @118,,1
my day 2 @155 nothing like the feeling,,2
Narcissus Blooming 3,Garden of Eden,3
No Bars - v10,No Bars,10
No Bars - v11,No Bars,11
No Bars - v12,No Bars,12
No Bars - v13,No Bars,13
No Bars - v3,No Bars,3
No Bars - v4,No Bars,4
No Bars - v6,No Bars,6
No Bars - v7,No Bars,7
No Bars - v8,No Bars,8
No Bars - v9,No Bars,9
not in the mood 2012-06-21_11-10,,20
Ode to Whine 2,,2
One Second of Weez - v3 instrumental,One Second of Weez,3
People Watcher 3,Fake Smiles and Nervous Laughter,3
peppermint 2 @159,,2
peppermint 7 @160,Peppermint,7
Piece Of Cake 1 @79 AQ,Piece of Cake,1
Piece of Cake 10 talky @82 +1,Piece of Cake,10
Piece of Cake 11 @82 -3,Piece of Cake,11
piece of cake 12 zip @82 +0,Piece of Cake,12
Piece of Cake 13 long verse melo @84 +2,Piece of Cake,13
Piece of Cake 14 no verse voc @84 +2,Piece of Cake,14
Piece of Cake 15 vocals @84 +2 20 bars,Piece of Cake,15
Piece of Cake 18 @82 +0,Piece of Cake,18
Piece of Cake 19 v3 short chorus @82 +0,Piece of Cake,19
Piece of Cake 21 prod @83 +0,Piece of Cake,21
Piece of Cake 22 tag @83 +0,Piece of Cake,22
Piece of Cake 4 verse melo @ 79 -3,Piece of Cake,4
Piece of Cake 5 verse lyrics @79 -3,Piece of Cake,5
Piece of Cake 7 @79 -3,Piece of Cake,7
Piece of Cake 8 @79 -3,Piece of Cake,8
Piece of Cake 9 @79 -3,Piece of Cake,9
Point Blank Range 8,,8
Prom Night 13,Prom Night,13
Prom Night 17,Prom Night,17
PW Major 7 2 @93 melody,,2
QB Blitz 1 @100,QB Blitz,1
QB Blitz 11 music box @102,QB Blitz,11
QB Blitz 13 @102,QB Blitz,13
QB Blitz 3 drums @99,QB Blitz,3
QB Blitz 4 verse @98,QB Blitz,4
QB Blitz 5 lyric tweaks @98,QB Blitz,5
QB Blitz 6 soft @98,QB Blitz,6
QB Blitz 8 weezer @101,QB Blitz,8
QB Blitz 9 qb bridge @101,QB Blitz,9
Quick Picture 10,Quick Picture,10
Quick Picture 4,Quick Picture,4
Quick Picture 9,Quick Picture,9
Rave Up - v3 pro sketch,Rave Up,3
rave up 4 @117,Wild at Heart,4
Real Life Friend - v10 edit,Real Life Friend,10
Real Life Friend - v11,Real Life Friend,11
Real Life Friend - v5,Real Life Friend,5
Real Life Friend - v6,Real Life Friend,6
Real Life Friend - v7,Real Life Friend,7
Real Life Friend - v8,Real Life Friend,8
Real Life Friend - v9,Real Life Friend,9
Remember Prom Night 14,Prom Night,14
Remember Prom Night 15 bridge lyri,Prom Night,15
Remember Prom Night 16 OG verse ch,Prom Night,16
Rest In Peace - v17,Rest in Peace,17
Rest In Peace - v18,Rest in Peace,18
Rest In Peace - v20,Rest in Peace,20
Rest In Peace - v21,Rest in Peace,21
Rest In Peace - v21 1,Rest in Peace,21
Rest In Peace - v23,Rest in Peace,23
Resurgum Fidei - v2,Resurgum Fidei,2
Resurrection - v1,Resurrection,1
Return to Ithaca - v3,Return to Ithaka,3
Rock Star 23,Eulogy For A Rock Band,23
Rock Star 24,Eulogy For A Rock Band,24
Running Red Lights 10 bgv1 @98 +2,,10
Running Red Lights 10 bgv2 @98 +2,,10
Running Red Lights 10 bgv3 @98 +2,,10
Running Red Lights 10 dbl vox @98 +2,,10
Running Red Lights 10 lead vox @98 +2,,10
Sammy and Robby 1 AU @75 +1,,1
Sammy and Robby 2 AU @76 +1,,2
Santa Monica - v3 instrumental,Santa Monica,3
Second Best Hugger In The World - v1,,1
Second Best Hugger In The World - v1 1,Second Best Hugger In The World,1
Second Best Hugger In The World - v1 2,Second Best Hugger In The World,1
Second Best Hugger In The World - v1 3,Second Best Hugger In The World,1
Second Best Hugger In The World - v13 cleaned @160 +3,Second Best Hugger In The World,13
Second Best Hugger In The World - v14 lyrics @160 +3,Second Best Hugger In The World,14
Second Best Hugger In The World - v2,Second Best Hugger In The World,2
Second Best Hugger In The World - v3,Second Best Hugger In The World,3
Second Best Hugger In The World - v4,Second Best Hugger In The World,4
Second Best Hugger In The World - v6,Second Best Hugger In The World,6
Second Best Hugger In The World - v7,Second Best Hugger In The World,7
Second Best Hugger In The World - v8,Second Best Hugger In The World,8
Second Best Hugger In The World - v9,Second Best Hugger In The World,9
Second Best Hugger In The World 11,Second Best Hugger In The World,1
"See You, Feel You - v2","See You, Feel You",2
She Has A Way With Words - v3,She Has A Way With Words,3
She Has A Way With Words - v5 strum,She Has A Way With Words,5
She Has A Way With Words - v6 ABA,She Has A Way With Words,6
She Has A Way With Words - v8,She Has A Way With Words,8
She Makes Me Laugh - v2 @67 girl to,She Makes Me Laugh,2
She Makes Me Laugh - v3 @67 verses,She Makes Me Laugh,3
She Makes Me Laugh - v4 @134 OG verse,She Makes Me Laugh,4
She's Just A Girl - v4 @130,,4
she's just a girl 4 @130,She's Just A Girl,4
Shining Star 10,Eulogy For A Rock Band,10
Shining Star 11,Eulogy For A Rock Band,11
Shining Star 12,Eulogy For A Rock Band,12
Shining Star 13,Eulogy For A Rock Band,13
Shining Star 14,Eulogy For A Rock Band,14
Shining Star 15,Eulogy For A Rock Band,15
Shining Star 16,Eulogy For A Rock Band,16
Shining Star 9,Eulogy For A Rock Band,9
Shining Stars 8,Eulogy For A Rock Band,8
Show Me That Again 2,Show Me That Again,2
Simple To Me - v5,Simple to Me,5
Simple To Me - v6,Simple to Me,6
Simple To Me - v7,Simple to Me,7
Simple To Me - v7 chorus @99 +1 actually 11 ish,Simple to Me,7
Simple to Me - v8,Simple to Me,8
Simple To Me - v8 1,Simple to Me,8
Since You Came Around - v10,Since You Came Around,10
Since You Came Around - v15,Since You Came Around,15
Since You Came Around 14,Jacked Up,14
Sing My Blues - v1,Sing My Blues Away,1
Sing My Blues Away - v10,Sing My Blues Away,10
Sing My Blues Away - v11,Sing My Blues Away,11
Sing My Blues Away - v12,Sing My Blues Away,12
Sing My Blues Away - v13,Sing My Blues Away,13
Sing My Blues Away - v13 1,Sing My Blues Away,13
Sing My Blues Away - v14,Sing My Blues Away,14
Sing My Blues Away - v2,Sing My Blues Away,2
Sing My Blues Away - v3,Sing My Blues Away,3
Sing My Blues Away - v4,Sing My Blues Away,4
Sing My Blues Away - v5,Sing My Blues Away,5
Sing My Blues Away - v6,Sing My Blues Away,6
Sing My Blues Away - v7,Sing My Blues Away,7
Sing My Blues Away - v8,Sing My Blues Away,8
Sing My Blues Away 15,Sing My Blues Away,15
Sing My Blues Away 16 No Drums,Sing My Blues Away,16
So Far So Good 1 @89,,1
So Far So Good 2 @89.mp3,,2
something special 1 @101,,1
something special 2 @102,,2
something special 3 verse @102,,3
something special 4 I thought I lay @102,,4
something special 5 above sea level @102,,5
something special 6 broken verse @102,,6
Sorrowful Essence 3@118,,3
soundcheck riff techno 2 chorus,,2
Sports Team - v6,Sports Team,6
Sports Team - v7,Sports Team,7
sports team 8 riff,Sports Team,8
St. George - v2,The Ballad of St. George,2
St. George - v3 Additional Ch,The Ballad of St. George,3
St. George - v4,The Ballad of St. George,4
St. George - v6,The Ballad of St. George,6
St. George - v8,The Ballad of St. George,8
Stand By My Side - v3,Stand By My Side,3
Still Dreaming 3 @66.6667 -6 to -3,Still Dreaming,3
Still Dreaming 3 @66.6667 -6 to -3-1,Still Dreaming,3
still dreaming 4 @67 -6 to -3,Still Dreaming,4
Still Dreaming 5 solo @67 -6 to -3,Still Dreaming,5
Stop Comparing Me To Him 1 @78 -3 BF 7,,1
stop comparing me to him 2 @113,,2
stop comparing me to him 2 @113,,2
Stop Comparing Me To Him 2 chorus first @78 -3 BF 11,,2
Stop Comparing Me To Him 3 Piano chorus first @78 -3 BF 11,,3
Stop Comparing Me To Him 4 Piano chorus first @78 -3 BF 11,,4
Subjective 1,Subjective,1
Subjective 2 take out so,Subjective,2
Subjective 3,Subjective,3
Subjective 4,Subjective,4
Such A Long Way To Heaven 10,Such A Long Way To Heaven,10
Summer Elaine - v6 lyrics @118,Summer Elaine and Drunk Dori,6
Summer Elaine and Drunk Dori 3 @11,,3
Sunday Afternoon 2 @138,,2
Superfan 17,Eulogy For A Rock Band,17
Superfan 18,Eulogy For A Rock Band,18
Superfan 18 1,Eulogy For A Rock Band,18
Superfan 20,Eulogy For A Rock Band,20
Supergirl - v2,Gravity Will Bring You Down,2
Superman 3,Superman,3
Superstars 29,Eulogy For A Rock Band,29
Superstars 31,Eulogy For A Rock Band,31
Sweet Love 2 2,Sweet Love,2
Sweet Love 3,,3
That's All I Ask 3 @128,Two Broken Hearts,3
The Ballad Of St. George - v9,The Ballad of St. George,9
The Band We Loved The Most 3,Eulogy For A Rock Band,3
The Band We Loved The Most 4,Eulogy For A Rock Band,4
The Band We Loved The Most 5,Eulogy For A Rock Band,5
The Band We Loved The Most 6,Eulogy For A Rock Band,6
The Beach Boys 3 @85,,3
The Bells In My Head 3 @115,,3
The Best of Me - v10,The Best of Me,10
The Best of Me - v14 crazy str,The Best of Me,14
The Best of Me - v5,The Best of Me,5
The Best Of Me - v6,The Best of Me,6
The Best of Me - v7,The Best of Me,7
The Best of Me - v9,The Best of Me,9
The Best of Me - v9 2,The Best of Me,9
The Best of Me 15 normal,The Best of Me,15
The Best Thing In Life 13,The Best Thing In Life,13
The Best Things In Life Are Free 1,The Best Thing In Life,1
The Best Things In Life Are Free 11,The Best Thing In Life,1
The British Are Coming - v1,The British Are Coming,1
The British Are Coming - v10,The British Are Coming,10
The British Are Coming - v11,The British Are Coming,11
The British Are Coming - v12,The British Are Coming,12
The British Are Coming - v13,The British Are Coming,13
The British Are Coming - v13 2,The British Are Coming,13
The British Are Coming - v14,The British Are Coming,14
The British Are Coming - v15,The British Are Coming,15
The British Are Coming - v16,The British Are Coming,16
The British Are Coming - v17,The British Are Coming,17
The British Are Coming - v18,The British Are Coming,18
The British Are Coming - v23 No B,The British Are Coming,23
The British Are Coming - v3,The British Are Coming,3
The British Are Coming - v30,The British Are Coming,30
The British Are Coming - v31,The British Are Coming,31
The British Are Coming - v32,The British Are Coming,32
The British Are Coming - v33,The British Are Coming,33
The British Are Coming - v34,The British Are Coming,34
The British Are Coming - v35,The British Are Coming,35
The British Are Coming - v36,The British Are Coming,36
The British Are Coming - v37,The British Are Coming,37
The British Are Coming - v38,The British Are Coming,38
The British Are Coming - v4,The British Are Coming,4
The British Are Coming - v40 Sons Of Liberty,The British Are Coming,40
The British Are Coming - v41 Son Of Liberty,The British Are Coming,41
The British Are Coming - v42 - vBurning My Books,The British Are Coming,42
The British Are Coming - v43 Burni,The British Are Coming,43
The British Are Coming - v44 Band,The British Are Coming,44
The British Are Coming - v45 Dumpi,The British Are Coming,45
The British Are Coming - v46 - vStra,The British Are Coming,46
The British Are Coming - v47,The British Are Coming,47
The British Are Coming - v48,The British Are Coming,48
The British Are Coming - v49,The British Are Coming,49
The British Are Coming - v50,The British Are Coming,50
The British Are Coming - v6,The British Are Coming,6
The British Are Coming - v7,The British Are Coming,7
The British Are Coming - v8,The British Are Coming,8
The Crazy Impossible Days - v4,The Crazy Impossible Days,4
The Gift Of Gab - v10,The Gift Of Gab,10
The Gift Of Gab - v11,The Gift Of Gab,11
The Gift Of Gab - v4,The Gift Of Gab,4
The Gift Of Gab - v5,The Gift Of Gab,5
The Gift Of Gab - v7,The Gift Of Gab,7
The Good News Channel - v1,The Good News Channel,1
The Good News Channel - v2,The Good News Channel,2
The Good News Channel - v3,The Good News Channel,3
The Good News Channel - v4,The Good News Channel,4
The Good News Channel - v5,The Good News Channel,5
The Ivory Telephone - v1,The Ivory Telephone,1
The Ivory Telephone - v10,The Ivory Telephone,10
The Ivory Telephone - v4,The Ivory Telephone,4
The Ivory Telephone - v5,The Ivory Telephone,5
The Ivory Telephone - v6,The Ivory Telephone,6
The Ivory Telephone - v7,The Ivory Telephone,7
The Ivory Telephone - v8,The Ivory Telephone,8
The Ivory Telephone - v9,The Ivory Telephone,9
The Key To My Heart 2 AL @73,J is for Joy,2
The Rules Of Life - v12,The Rules of Life,12
The Rules Of Life - v14,The Rules of Life,14
The Rules Of Life - v15,The Rules of Life,15
The Rules Of Life - v16,The Rules of Life,16
The Rules Of Life - v17,The Rules of Life,17
The Rules Of Life - v18,The Rules of Life,18
The Rules Of Life - v19,The Rules of Life,19
The Rules Of Life - v19 1,The Rules of Life,19
The Rules Of Life - v21 - vPres,The Rules of Life,21
The Rules Of Life - v22,The Rules of Life,22
The Rules Of Life - v23,The Rules of Life,23
The Rules Of Life - v24,The Rules of Life,24
The Rules Of Life - v25,The Rules of Life,25
The Rules Of Life - v26,The Rules of Life,26
The Rules Of Life - v27,The Rules of Life,27
The Rules Of Life - v28 - vTo Par,The Rules of Life,28
The Rules Of Life - v29,The Rules of Life,29
The Rules Of Life - v31 - vS,The Rules of Life,31
The Rules Of Life - v32,The Rules of Life,32
The Rules Of Life - v32 1,The Rules of Life,32
The Rules Of Life - v33,The Rules of Life,33
The Rules Of Life - v35 Adolf,The Rules of Life,35
The Rules Of Life - v36,The Rules of Life,36
The Rules Of Life - v37,The Rules of Life,37
The Rules Of Life - v38,The Rules of Life,38
The Rules Of Life - v39 2,The Rules of Life,39
The Rules Of Life - v41,The Rules of Life,41
The Rules Of Life - v44,The Rules of Life,44
The Rules Of Life - v45,The Rules of Life,45
The Rules Of Life - v46,The Rules of Life,46
The Rules Of Life - v5,The Rules of Life,5
The Rules Of Life - v7,The Rules of Life,7
The Rules of Life 6,The Rules of Life,6
The Summer Of Love 2 @131,The Summer of Love,2
The Tower of Babel - v2,The Tower of Babel,2
The Tower Of Babel - v3 / The Waste Land,The Tower of Babel / The Waste Land,3
The Tower Of Babel - v5,The Tower of Babel,5
The Tower Of Babel - v6,The Tower of Babel,6
The Tower Of Babel - v6 1,The Tower of Babel,6
The Tower Of Babel - v6 2,The Tower of Babel,6
The Tower Of Babel - v7,The Tower of Babel,7
The Tower Of Babel - v7 1,The Tower of Babel,7
The Trouble With Trouble 1 @81 -5 BF 8,,1
The Unofficials - v3,The Unofficials,3
The Unofficials - v4,The Unofficials,4
The Unofficials - v5 2,The Unofficials,5
The Waste Land - v2,The Waste Land,2
The Waste Land - v3,The Waste Land,3
The Waste Land - v3 1,The Waste Land,3
The Waste Land - v4,The Waste Land,4
The Waste Land - v5,The Waste Land,5
The Waste Land - v5 2,The Waste Land,5
The Waste Land - v6,The Waste Land,6
The Waste Land - v9,The Waste Land,9
There's Good News And Bad News 2 @,Last Days of Summer,2
There's Good News And Bad News 4 n,Last Days of Summer,4
Thunderbolt 5,,5
Today I Do 3 @97 -2,I See Colors,3
Too Good For Me - v2,Too Good For Me,2
Too Good For Me - v3,Too Good For Me,3
Too Good For Me - v3 1,Too Good For Me,3
Too Good For Me - v3 2,Too Good For Me,3
Too Good For Me - v3 point 2,,3
Too Good For Me 3 point 2,Too Good For Me,3
Too Many Thoughts In My Head 3 @126 +4,Too Many Thoughts in My Head,3
Too Many Thoughts In My Head 4 @126 +4,Too Many Thoughts in My Head,4
Too Many Thoughts In My Head 4 noc3 @126 +4,Too Many Thoughts in My Head,4
Too Many Thoughts In My Head 5 @126 +4,Too Many Thoughts in My Head,5
Too Many Thoughts In My Head 9 personal @126 +4,Too Many Thoughts in My Head,9
Two Broken Hearts 11 bein drums @132 -5,Two Broken Hearts,11
Two Broken Hearts 3 @132 -5,Two Broken Hearts,3
Two Broken Hearts 4 drums @132 -5,Two Broken Hearts,4
Two Broken Hearts 5 @132 -5,Two Broken Hearts,5
Two Broken Hearts 5 more bgv @132 -5,Two Broken Hearts,5
Two Broken Hearts 6 bass @132 -5,Two Broken Hearts,6
Two Broken Hearts 9 alt p3 lyrics @132 -5,Two Broken Hearts,9
Up In A Cloud - v23 Demo For Guys,Up In The Clouds,23
Up In A Cloud - v24 Instrumental F,Up In The Clouds,24
Up In The Clouds - v26,Up In The Clouds,26
Up In The Clouds - v26 1,Up In The Clouds,26
Up In The Clouds - v29,Up In The Clouds,29
Up In The Clouds - v30,Up In The Clouds,30
Up In the Clouds - v31,Up In The Clouds,31
Up In The Clouds 32,Up in the Clouds,32
Volunteers - v10,Beginning of the End,10
Volunteers - v2,Beginning of the End,2
Wagamama - v1,Wagamama,1
Wagamama - v2,Wagamama,2
Wagamama - v3,Wagamama,3
Wagamama - v4,Wagamama,4
Wagamama - v5,,5
Wagamama 5,Wagamama,5
Watermelon 1 AW @120 +2,,1
We Are All We have 1 AR @74,Friend of a Friend,1
We Are All We Have 3 stretch chorus @ 76,,3
We Are All We Have 4 stretch chorus @ 74 +1,Friend of a Friend,4
We Are All We Have 5 verse melo @76 +1,,5
We Are All We Have 7 vocals @76 +1 20 bars,,7
We Are Fighters 4,We Are Fighters,4
We Are Fighters 5,We Are Fighters,5
We Are Fighters 7 instrumental,,7
We Are The Indians - v5,We Are The Indians,5
We Are The Indians - v6,We Are The Indians,6
We Are The Indians - v7,Do You Wanna Get High,7
We Gotta Get Paid 4,We Gotta Get Paid,4
Wedlock 4,,4
Weekend Girl - v2,Weekend Woman,2
Weekend Girl 3,Weekend Woman,3
Weekend Girl 4 half time @66.5,Weekend Woman,4
We're Gonna Get Paid 4,We Gotta Get Paid,4
What The Hell 1,What The Hell,1
What The Hell 3,What The Hell,3
What You Wanna Be 6,What You Wanna Be,6
What's Up With Me v2 - pro sketch,What's Up With Me,2
where did your heart go 1,Lost And Found,1
where did your heart go 2,Lost And Found,2
Where Did Your Heart Go 6,Lost And Found,6
Where Do All The Kids Hang Out 2 @85,,2
Where Do All The Kids Hang Out 3 @85,,3
Where Do All The Kids Hang Out 4 verse melody @85,,4
Where Do All The Kids Hang Out 5 in B @85,,5
Where Do All The Kids Hang Out 6 chorus fix @85,,6
Why Am I Getting So Upset - v4,Why Am I Getting So Upset,4
Why Am I Getting So Upset 11,Why Am I Getting So Upset,11
Why Am I Getting So Upset 11 2,Why Am I Getting So Upset,11
Why Am I Getting So Upset 8 og,Why Am I Getting So Upset,8
why can't you be there 3,Why Can't You Be There,3
Why Do We Hurt Each Other 2,Why Do We Hurt Each Other,2
Why Won't You Love Me - v13 easy @67,Why Won't You Love Me,13
Why Won't You Love Me - v3 - v@120,Why Won't You Love Me,3
Why Won't You Love Me - v4 @ 130,Why Won't You Love Me,4
Why Won't You Love Me - v5 same chord,Why Won't You Love Me,5
Why Won't You Love Me 14 drumless @67,Why Won't You Love Me,14
Why Won't You Love Me 7 new melod,Why Won't You Love Me,7
Why Won't You Love Me 8 OG melody,Why Won't You Love Me,8
Wild Animals 4,,4
Working Man - v3,Working Man,3
You And Me Together 2013,Prom Night,20
You Came To Get Some 2,You Came to Get Some,2
You Could Take Me Anywhere 10,Friend of a Friend,10
You Could Take Me Anywhere 8,Friend of a Friend,8
You Could Take Me Anywhere 9,Friend of a Friend,9
You Don't Have To Be Perfect For Me 3 @70,,3
You Don't Have To Be Perfect For Me 4 @70 hip hop,,4
You Make Me Believe In God 5 @ 120,You Make Believe In God,5
You Make Me Believe In God 6 @122,You Make Believe In God,6
You Make Me Believe In God 7 @122,You Make Believe In God,7
You Were Right here All Along 4,,4
You're Beautiful To Me - v10,You're Beautiful To Me,10
You're Beautiful To me 11,You're Beautiful To Me,11
You're Beautiful To me 12,You're Beautiful To Me,12
You're Beautiful To me 14,You're Beautiful To Me,14
You're Beautiful To me 6,You're Beautiful To Me,6
You're Beautiful To me 7,You're Beautiful To Me,7
You're Beautiful To me 8,You're Beautiful To Me,8
You're Beautiful To me 9,You're Beautiful To Me,9
You're Prettier Than You Think - v4,You're Prettier Than You Think,4
You're Prettier Than You Think 2,You're Prettier Than You Think,2
You're Prettier Than You Think 3,You're Prettier Than You Think,3
????? Instrumental,?????,2
