title,Final song title,version,titleStripped,automatedFinalTitle,finalTitleComparison,automatedVersion,versionComparison
Everybody Needs Salvation - v2,Everybody Needs Salvation,2,everybody needs salvation,everybody needs salvation,Match,2.0,match
Everybody Needs Salvation - v2 1,Everybody Needs Salvation,2,everybody needs salvation,everybody needs salvation,Match,2.0,match
Everybody Needs Salvation - v3,Everybody Needs Salvation,3,everybody needs salvation,everybody needs salvation,Match,3.0,match
Everyone Knows 8,Everyone Knows,8,everyone knows,everyone knows,Match,8.0,match
Exonerate Me - v4,Exonerate Me,4,exonerate me,exonerate me,Match,4.0,match
Exonerate Me - v5,Exonerate Me,5,exonerate me,exonerate me,Match,5.0,match
Exonerate Me - v6,Exonerate Me,6,exonerate me,exonerate me,Match,6.0,match
Exonerate Me - v6 1,Exonerate Me,6,exonerate me,exonerate me,Match,6.0,match
Expatriate In LA 7,Expatriates In Paris,7,expatriate in la,expatriate in la,Different,7.0,match
Expatriate In LA 8,Expatriates In Paris,8,expatriate in la,expatriate in la,Different,8.0,match
Expatriates In Paris 1,Expatriates In Paris,1,expatriates in paris,expatriates in paris,Match,1.0,match
Expatriates In Paris 10,Expatriates In Paris,10,expatriates in paris,expatriates in paris,Match,10.0,match
Expatriates In Paris 10 1,Expatriates In Paris,10,expatriates in paris,expatriates in paris,Match,10.0,match
Expatriates In Paris 11,Expatriates In Paris,11,expatriates in paris,expatriates in paris,Match,11.0,match
Expatriates In Paris 2 we be,Expatriates In Paris,2,expatriates in paris,expatriates in paris,Match,2.0,match
Expatriates In Paris 4,Expatriates In Paris,4,expatriates in paris,expatriates in paris,Match,4.0,match
Expatriates In Paris 5,Expatriates In Paris,5,expatriates in paris,expatriates in paris,Match,5.0,match
Expatriates In Paris 6,Expatriates In Paris,6,expatriates in paris,expatriates in paris,Match,6.0,match
Expatriates In Paris 9,Expatriates In Paris,9,expatriates in paris,expatriates in paris,Match,9.0,match
Fair Weather Friend - v6,Fair Weather Friend,6,fair weather friend,fair weather friend,Match,6.0,match
Fair Weather Friend - v7,Fair Weather Friend,7,fair weather friend,fair weather friend,Match,7.0,match
Fair Weather Friend - v8,Fair Weather Friend,8,fair weather friend,fair weather friend,Match,8.0,match
Fair Weather Friends - v5,Fair Weather Friend,5,fair weather friends,fair weather friends,Different,5.0,match
Fake Smiles - v4,Fake Smiles and Nervous Laughter,4,fake smiles,fake smiles,Different,4.0,match
Fake Smiles And Nervous Laughter - v5,Fake Smiles and Nervous Laughter,5,fake smiles and nervous laughter,fake smiles and nervous laughter,Match,5.0,match
Fake Smiles And Nervous Laughter - v6,Fake Smiles and Nervous Laughter,6,fake smiles and nervous laughter,fake smiles and nervous laughter,Match,6.0,match
Fake Smiles And Nervous Laughter - v7,Fake Smiles and Nervous Laughter,7,fake smiles and nervous laughter,fake smiles and nervous laughter,Match,7.0,match
Fake Smiles And Nervous Laughter - v8,Fake Smiles and Nervous Laughter,8,fake smiles and nervous laughter,fake smiles and nervous laughter,Match,8.0,match
Fan Fiction 1 AS master_pw @86,,1,fan fiction,fan fiction,previously missing,1.0,match
Finish Line 3,,3,finish line,finish line,previously missing,3.0,match
Four Leaf Clover 10,Four Leaf Clover,10,four leaf clover,four leaf clover,Match,10.0,match
Four Leaf Clover 8,Four Leaf Clover,8,four leaf clover,four leaf clover,Match,8.0,match
Four Leaf Clover 9,Four Leaf Clover,9,four leaf clover,four leaf clover,Match,9.0,match
Freak Flag - v5,Freak Flag,5,freak flag,freak flag,Match,5.0,match
Freak Flag - v6,Freak Flag,6,freak flag,freak flag,Match,6.0,match
Freak Flag - v7,Freak Flag,7,freak flag,freak flag,Match,7.0,match
Freak Flag - v8,Freak Flag,8,freak flag,freak flag,Match,8.0,match
Freaky Flag - v4,Freak Flag,4,freaky flag,freaky flag,Different,4.0,match
Friday Feeling 1 voice AI @99,Medicine for Melancholy,1,friday feeling,friday feeling,Different,1.0,match
Friday Feeling 10 insecure @102,Medicine for Melancholy,10,friday feeling,friday feeling,Different,10.0,match
Friday Feeling 12 dumdiddy.heyman.medicine @104,Medicine for Melancholy,12,friday feeling,friday feeling,Different,12.0,match
Friday Feeling 12 dumdiddy.heyman.medicine @104 VOCALS,,12,friday feeling,friday feeling,previously missing,12.0,match
Friday Feeling 13 minor verse @104,Medicine for Melancholy,13,friday feeling,friday feeling,Different,13.0,match
Friday Feeling 13 someone single @104,Medicine for Melancholy,13,friday feeling,friday feeling,Different,13.0,match
Friday Feeling 14 I ii I V verse @104,Medicine for Melancholy,14,friday feeling,friday feeling,Different,14.0,match
Friday Feeling 15 verse two @104,Medicine for Melancholy,15,friday feeling,friday feeling,Different,15.0,match
Friday Feeling 16 half choruses @104,Medicine for Melancholy,16,friday feeling,friday feeling,Different,16.0,match
Friday Feeling 17 pre lyric @104,Medicine for Melancholy,17,friday feeling,friday feeling,Different,17.0,match
Friday Feeling 22 reggae @102,Medicine for Melancholy,22,friday feeling,friday feeling,Different,22.0,match
Friday Feeling 23 cleanriff @100,Medicine for Melancholy,23,friday feeling,friday feeling,Different,23.0,match
Friday Feeling 24 post @100,Medicine for Melancholy,24,friday feeling,friday feeling,Different,24.0,match
Friday Feeling 25 fits @100,Medicine for Melancholy,25,friday feeling,friday feeling,Different,25.0,match
Friday Feeling 3 @101,Medicine for Melancholy,3,friday feeling,friday feeling,Different,3.0,match
Friday Feeling 4 @101,Medicine for Melancholy,4,friday feeling,friday feeling,Different,4.0,match
Friday Feeling 5 @102,Medicine for Melancholy,5,friday feeling,friday feeling,Different,5.0,match
Friday Feeling 6 thinned verse @102,Medicine for Melancholy,6,friday feeling,friday feeling,Different,6.0,match
Friday Feeling 7 summer is here @102,Medicine for Melancholy,7,friday feeling,friday feeling,Different,7.0,match
Get Me Mine - v2,Get Me Mine,2,get me mine,get me mine,Match,2.0,match
Ghetto Owl 2 @128,,2,ghetto owl,ghetto owl,previously missing,2.0,match
Ghost 2 @125 melody,Byzantine,2,ghost,ghost,Different,2.0,match
Girl We Got A Good Thing - v15 sketch,(Girl We Got A) Good Thing,15,girl we got a good thing,girl we got a good thing,Different,15.0,match
Girl We Got A Good Thing - v16,(Girl We Got A) Good Thing,16,girl we got a good thing,girl we got a good thing,Different,16.0,match
Girl We Got A Good Thing - v17 cross,(Girl We Got A) Good Thing,17,girl we got a good thing,girl we got a good thing,Different,17.0,match
Go Get It 3,,3,go get it,go get it,previously missing,3.0,match
Good Times 4,All This Love,4,good times,good times,Different,4.0,match
Good Times 5 verses @102,All This Love,5,good times,good times,Different,5.0,match
Good Times 5 verses @102,All This Love,5,good times,good times,Different,5.0,match
Gravity Will Bring You Down - v10,Gravity Will Bring You Down,10,gravity will bring you down,gravity will bring you down,Match,10.0,match
Gravity Will Bring You Down - v11,Gravity Will Bring You Down,11,gravity will bring you down,gravity will bring you down,Match,11.0,match
Gravity Will Bring You Down - v11 1,Gravity Will Bring You Down,11,gravity will bring you down,gravity will bring you down,Match,11.0,match
Gravity Will Bring You Down - v12,Gravity Will Bring You Down,12,gravity will bring you down,gravity will bring you down,Match,12.0,match
Gravity Will Bring You Down - v13,Gravity Will Bring You Down,13,gravity will bring you down,gravity will bring you down,Match,13.0,match
Gravity Will Bring You Down - v3,Gravity Will Bring You Down,3,gravity will bring you down,gravity will bring you down,Match,3.0,match
Gravity Will Bring You Down - v6,Gravity Will Bring You Down,6,gravity will bring you down,gravity will bring you down,Match,6.0,match
Gravity Will Bring You Down - v7,Gravity Will Bring You Down,7,gravity will bring you down,gravity will bring you down,Match,7.0,match
Gravity Will Bring You Down - v8,Gravity Will Bring You Down,8,gravity will bring you down,gravity will bring you down,Match,8.0,match
Gravity Will Bring You Down - v9,Gravity Will Bring You Down,9,gravity will bring you down,gravity will bring you down,Match,9.0,match
Gravity Will Bring You Down 13,Gravity Will Bring You Down,13,gravity will bring you down,gravity will bring you down,Match,13.0,match
Gravity's Gon' Bring You Down - v5,Gravity Will Bring You Down,5,gravity's gon' bring you down,gravity's gon' bring you down,Different,5.0,match
groovin alanis 2 @105,,2,groovin alanis,groovin alanis,previously missing,2.0,match
Guiding Light 4 verse @131 -1,,4,guiding light,guiding light,previously missing,4.0,match
Guiding Light 5 verse @131 -1,,5,guiding light,guiding light,previously missing,5.0,match
Guiding Light 6 swear to god bridge @131 -1,Guiding Light,6,guiding light,guiding light,Match,6.0,match
Guiding Light chorus 3 drums @131,,3,guiding light chorus,guiding light chorus,previously missing,3.0,match
Guiding Light chorus 7 builds @131 -1,Guiding Light,7,guiding light chorus,guiding light chorus,Different,7.0,match
Guiding Light chorus 8 square verse @131 -1,Guiding Light,8,guiding light chorus,guiding light chorus,Different,8.0,match
gun it 1 @62.5,,1,gun it,gun it,previously missing,1.0,match
gun it 11 new chords @ 62.5,,11,gun it,gun it,previously missing,11.0,match
gun it 3 @ 62.5,,3,gun it,gun it,previously missing,3.0,match
gun it 4 @ 62.5,,4,gun it,gun it,previously missing,4.0,match
gun it 6 @ 62.5,,6,gun it,gun it,previously missing,6.0,match
gun it 7 alt verse @ 62.5,,7,gun it,gun it,previously missing,7.0,match
gun it 8 lyrics @ 62.5,,8,gun it,gun it,previously missing,8.0,match
gun it 9 lyric tweaks and bass @ 62.5,,9,gun it,gun it,previously missing,9.0,match
Happiness 1 AV @97 +1,,1,happiness,happiness,previously missing,1.0,match
Happy Anniversary 8 @160 vocals,,8,happy anniversary,happy anniversary,previously missing,8.0,match
Happy Now 5 rc @125,,5,happy now,happy now,previously missing,5.0,match
Happy To be sad 4 @100,,4,happy to be sad,happy to be sad,previously missing,4.0,match
Hawaii - v5,Hawaii,5,hawaii,hawaii,Match,5.0,match
Hawaii - v6,Hawaii,6,hawaii,hawaii,Match,6.0,match
Hawaii - v7,Hawaii,7,hawaii,hawaii,Match,7.0,match
Hawaii 9,Hawaii,9,hawaii,hawaii,Match,9.0,match
Heart Of Hearts 8 @129 vocals,,8,heart of hearts,heart of hearts,previously missing,8.0,match
Her Name Is Kaylee 2 @119,J is for Joy,2,her name is kaylee,her name is kaylee,Different,2.0,match
Her Name Is Kaylee 3 @119,J is for Joy,3,her name is kaylee,her name is kaylee,Different,3.0,match
Her Name Is Kaylee 5 verse @120,J is for Joy,5,her name is kaylee,her name is kaylee,Different,5.0,match
Her Name Is Kaylee 6 double post @120,J is for Joy,6,her name is kaylee,her name is kaylee,Different,6.0,match
Here Comes The Rain 16 impossible @112 +5,Here Comes the Rain,16,here comes the rain,here comes the rain,Match,16.0,match
Hey Nonbeliever - v2,Hey Nonbeliever,2,hey nonbeliever,hey nonbeliever,Match,2.0,match
Hey Nonbeliever 3,Two Broken Hearts,3,hey nonbeliever,hey nonbeliever,Different,3.0,match
Hey Nonbeliever 4,Two Broken Hearts,4,hey nonbeliever,hey nonbeliever,Different,4.0,match
Hey Youngster 2 @80,Beginning of the End,2,hey youngster,hey youngster,Different,2.0,match
Higgs Boson - v1,Higgs Boson,1,higgs boson,higgs boson,Match,1.0,match
Higgs Boson - v2,Higgs Boson,2,higgs boson,higgs boson,Match,2.0,match
Higgs Boson - v3,Higgs Boson,3,higgs boson,higgs boson,Match,3.0,match
Higgs Boson - v4,Higgs Boson,4,higgs boson,higgs boson,Match,4.0,match
Higgs Boson - v5,Higgs Boson,5,higgs boson,higgs boson,Match,5.0,match
High As A Kite 1 @85 +5 AZ 13,High as a Kite,1,high as a kite,high as a kite,Match,1.0,match
High As A Kite 1 @86 +5 AZ 13,High as a Kite,1,high as a kite,high as a kite,Match,1.0,match
High as A Kite 2 @63,High as a Kite,2,high as a kite,high as a kite,Match,2.0,match
High as a Kite AZ 3 second verse @85 +5,High as a Kite,3,high as a kite az,high as a kite az,Different,3.0,match
High as a Kite AZ 4 verse chords @86 +5,High as a Kite,4,high as a kite az,high as a kite az,Different,4.0,match
High as a Kite AZ 5 vocals @86 +5 25 bars,High as a Kite,5,high as a kite az,high as a kite az,Different,5.0,match
High Hopes - v14,High Hopes,14,high hopes,high hopes,Match,14.0,match
High Hopes 3,Mexican Fender,3,high hopes,high hopes,Different,3.0,match
High of 69 2 @94,I Can't Find The Words,2,high of,high of,Different,69.0,Different
High of 69 3@80,I Can't Find The Words,3,high of,high of,Different,69.0,Different
Higher Than The Sky 3 @100,I Can't Find The Words,3,higher than the sky,higher than the sky,Different,3.0,match
Hippies - v5,Hippies,5,hippies,hippies,Match,5.0,match
Hippies - v6,Hippies,6,hippies,hippies,Match,6.0,match
Hippies - v7,Hippies,7,hippies,hippies,Match,7.0,match
Hippies - v8,Hippies,8,hippies,hippies,Match,8.0,match
Hulk 2 verse melody @ 120,,2,hulk,hulk,previously missing,2.0,match
Hulk 3 my buddy verse melody @ 120,,3,hulk,hulk,previously missing,3.0,match
Hulk 4 chateau @ 120,,4,hulk,hulk,previously missing,4.0,match
Hulk 5 verse 2 @ 60.5,,5,hulk,hulk,previously missing,5.0,match
hummingbird 4 @63,,4,hummingbird,hummingbird,previously missing,4.0,match
I Am An Indian - v2,Do You Wanna Get High,2,i am an indian,i am an indian,Different,2.0,match
I Am An Indian - v4,Do You Wanna Get High,4,i am an indian,i am an indian,Different,4.0,match
I Can't Find The Words - v10 phrases,I Can't Find The Words,10,i can't find the words,i can't find the words,Match,10.0,match
I Can't Find The Words 4,I Can't Find The Words,4,i can't find the words,i can't find the words,Match,4.0,match
I Can't Find The Words 6 high of,I Can't Find The Words,6,i can't find the words,i can't find the words,Match,6.0,match
I Can't Find The Words 6 verse vo,I Can't Find The Words,6,i can't find the words,i can't find the words,Match,6.0,match
I Can't Find The Words 9 bridge @1,I Can't Find The Words,9,i can't find the words,i can't find the words,Match,9.0,match
I Can't Forget the Way 2,Byzantine,2,i can't forget the way,i can't forget the way,Different,2.0,match
I Don't Feel Enough 2,All This Love,2,i don't feel enough,i don't feel enough,Different,2.0,match
I Don't Feel Enough 2,,2,i don't feel enough,i don't feel enough,previously missing,2.0,match
I fn lonely as shit 11 marimba @102 +3,,11,i fn lonely as shit,i fn lonely as shit,previously missing,11.0,match
I Got Everything That I Need - v3 sketch,,3,i got everything that i need,i got everything that i need,previously missing,3.0,match
I like 3,,3,i like,i like,previously missing,3.0,match
I Need You 2 @129,I Need You,2,i need you,i need you,Match,2.0,match
I See Colors 4 @97 -2,I See Colors,4,i see colors,i see colors,Match,4.0,match
i see colors 5 with me @97 -2,I See Colors,5,i see colors,i see colors,Match,5.0,match
i see colors 7 solo @97 -2,,7,i see colors,i see colors,previously missing,7.0,match
I See Colors 8 lonely at the top @97 -2,I See Colors,8,i see colors,i see colors,Match,8.0,match
I Sing To Myself 4,Do You Wanna Get High?,4,i sing to myself,i sing to myself,Different,4.0,match
I Still Can't Figure It out 2 @92,I Still Can't Figure It Out,2,i still can't figure it out,i still can't figure it out,Match,2.0,match
I Swear To God 1 AW @118 -4,,1,i swear to god,i swear to god,previously missing,1.0,match
I Want You To Notice Me - v3 sketch,The Best Things in Life,3,i want you to notice me,i want you to notice me,Different,3.0,match
I Want you To Notice me 2,The Best Thing In Life,2,i want you to notice me,i want you to notice me,Different,2.0,match
I Wish I Could Autotune My Face - v2,I Wish I Could Autotune My Face,2,i wish i could autotune my face,i wish i could autotune my face,Match,2.0,match
I Wish I Could Autotune My Face - v3,I Wish I Could Autotune My Face,3,i wish i could autotune my face,i wish i could autotune my face,Match,3.0,match
I Wish I Could Autotune My Face - v4,I Wish I Could Autotune My Face,4,i wish i could autotune my face,i wish i could autotune my face,Match,4.0,match
I Wish I Could Autotune My Face - v5,I Wish I Could Autotune My Face,5,i wish i could autotune my face,i wish i could autotune my face,Match,5.0,match
I Wish I Could Autotune My Face - v6,I Wish I Could Autotune My Face,6,i wish i could autotune my face,i wish i could autotune my face,Match,6.0,match
I Wish I Could Autotune My Face - v8,I Wish I Could Autotune My Face,8,i wish i could autotune my face,i wish i could autotune my face,Match,8.0,match
I Won't Flake On You - v5,I Won't Let You Down,5,i won't flake on you,i won't flake on you,Different,5.0,match
I Won't Flake On You - v6,I Won't Let You Down,6,i won't flake on you,i won't flake on you,Different,6.0,match
I Won't Let You Down - v2,I Won't Let You Down,2,i won't let you down,i won't let you down,Match,2.0,match
I Won't Let You Down - v3,I Won't Let You Down,3,i won't let you down,i won't let you down,Match,3.0,match
I Won't Let You Down - v4,I Won't Let You Down,4,i won't let you down,i won't let you down,Match,4.0,match
I Won't Let You Down - v4 1,I Won't Let You Down,4,i won't let you down,i won't let you down,Match,4.0,match
I Won't Let You Down - v7,I Won't Let You Down,7,i won't let you down,i won't let you down,Match,7.0,match
I Won't Let You Down - v8,,8,i won't let you down,i won't let you down,previously missing,8.0,match
I Won't Let You Down - v8 1,I Won't Let You Down,8,i won't let you down,i won't let you down,Match,8.0,match
I Won't Let You Down 8,I Won't Let You Down,8,i won't let you down,i won't let you down,Match,8.0,match
If It's Only In Your Head 15 new lyrics @160 +2,,15,if it's only in your head,if it's only in your head,previously missing,15.0,match
If It's Only In Your Head 17 tweaks @160 +2,,17,if it's only in your head,if it's only in your head,previously missing,17.0,match
I'll Be With Someone Else - v2,All This Love,2,i'll be with someone else,i'll be with someone else,Different,2.0,match
I'll Be With Someone Else - v2 1,All This Love,2,i'll be with someone else,i'll be with someone else,Different,2.0,match
I'll Be With Someone Else - v2 2,All This Love,2,i'll be with someone else,i'll be with someone else,Different,2.0,match
I'll Be With Someone Else - v3,All This Love,3,i'll be with someone else,i'll be with someone else,Different,3.0,match
I'll Love You Every Day 10 bridge,I'll Love You Every Day,10,i'll love you every day,i'll love you every day,Match,10.0,match
I'll Love You Every Day 11 no drum,I'll Love You Every Day,11,i'll love you every day,i'll love you every day,Match,11.0,match
I'll Love You Every Day 3b Scratch,I'll Love You Every Day,3b,i'll love you every day,i'll love you every day,Match,3.0,match
I'll Love You Every Day 8 @68,I'll Love You Every Day,8,i'll love you every day,i'll love you every day,Match,8.0,match
I'll Love You Every Day 9 verses,I'll Love You Every Day,9,i'll love you every day,i'll love you every day,Match,9.0,match
I'll Swallow Poison On Sunday 1 @97 -2,I See Colors,1,i'll swallow poison on sunday,i'll swallow poison on sunday,Different,1.0,match
I'll Swallow Poison On Sunday 1 @97 -2,I See Colors,1,i'll swallow poison on sunday,i'll swallow poison on sunday,Different,1.0,match
I'm a Pretender 2 @165,I'm a Pretender,2,i'm a pretender,i'm a pretender,Match,2.0,match
I'm Going Swimming With You 2 @133,,2,i'm going swimming with you,i'm going swimming with you,previously missing,2.0,match
i'm on the outside 6 1,I'm On The Outside,6,i'm on the outside,i'm on the outside,Match,6.0,match
Indian Snowflake 3,Lost And Found,3,indian snowflake,indian snowflake,Different,3.0,match
Indian Snowflake 4,Lost And Found,4,indian snowflake,indian snowflake,Different,4.0,match
Indian Summer 1 @118,,1,indian summer,indian summer,previously missing,1.0,match
Indian Summer 1 AI @116,,1,indian summer,indian summer,previously missing,1.0,match
Indian Summer 2 AI swing @116,,2,indian summer,indian summer,previously missing,2.0,match
Indian Summer 2 Gun It AG01 @118,,2,indian summer,indian summer,previously missing,2.0,match
Inspired 10,Inspired,10,inspired,inspired,Match,10.0,match
Inspired 7,Inspired,7,inspired,inspired,Match,7.0,match
Inspired 8,Inspired,8,inspired,inspired,Match,8.0,match
Is This What They Call Love 1 @135 +4,J is for Joy,1,is this what they call love,is this what they call love,Different,1.0,match
It Feels Like Summer 2 @160,It Feels Like Summer,2,it feels like summer,it feels like summer,Match,2.0,match
It Holds Me Together 2,,2,it holds me together,it holds me together,previously missing,2.0,match
It's Been So Long 4,,4,it's been so long,it's been so long,previously missing,4.0,match
It's Not the Same As It Was 12 second verse @118 -1,Two Broken Hearts,12,it's not the same as it was,it's not the same as it was,Different,12.0,match
It's Not the Same As It Was 13 tweaks @118 -1,Two Broken Hearts,13,it's not the same as it was,it's not the same as it was,Different,13.0,match
It's Not the Same As It Was 14 bass & gtr @115 -1,Two Broken Hearts,14,it's not the same as it was,it's not the same as it was,Different,14.0,match
It's Not the Same As It Was 15 production @117 -1,Two Broken Hearts,15,it's not the same as it was,it's not the same as it was,Different,15.0,match
It's Not the Same As It Was 16 tweaks @117 -1,Two Broken Hearts,16,it's not the same as it was,it's not the same as it was,Different,16.0,match
It's Not the Same As It Was 18 @118 -1,Two Broken Hearts,18,it's not the same as it was,it's not the same as it was,Different,18.0,match
It's Not the Same As It Was 7 trip verse melo @118 -1,Two Broken Hearts,7,it's not the same as it was,it's not the same as it was,Different,7.0,match
It's Not the Same As It Was 9 libs @118 -1,Two Broken Hearts,9,it's not the same as it was,it's not the same as it was,Different,9.0,match
It's Only In Your Head 19 kickin back @160 +2,,19,it's only in your head,it's only in your head,previously missing,19.0,match
J Is For Joy 1 @135 +4,J is for Joy,1,j is for joy,j is for joy,Match,1.0,match
J Is For Joy 2 piano @135 +4,J is for Joy,2,j is for joy,j is for joy,Match,2.0,match
J Is For Joy 3 bridge key heart @135 +4,J is for Joy,3,j is for joy,j is for joy,Match,3.0,match
j is for joy 4 you and me bridge @135 +4,J is for Joy,4,j is for joy,j is for joy,Match,4.0,match
J Is For Joy 6 discovered @135 +4,J is for Joy,6,j is for joy,j is for joy,Match,6.0,match
Johnny Clash 3 i know that you want me @70,,3,johnny clash,johnny clash,previously missing,3.0,match
Johnny Clash 3 weezered @ 185,Johnny Clash,3,johnny clash,johnny clash,Match,3.0,match
Johnny Clash 6 toothpick bridge @1,Johnny Clash,6,johnny clash,johnny clash,Match,6.0,match
Johnny Clash 7 bridge vox @180,Johnny Clash,7,johnny clash,johnny clash,Match,7.0,match
June Bride 10,Mexican Fender,10,june bride,june bride,Different,10.0,match
June Bride 15,Mexican Fender,15,june bride,june bride,Different,15.0,match
June Bride 16,Mexican Fender,16,june bride,june bride,Different,16.0,match
June Bride 2 i know that you want me @65,Mexican Fender,2,june bride,june bride,Different,2.0,match
Keep Your Pants On 3,,3,keep your pants on,keep your pants on,previously missing,3.0,match
Let's Get Married - v3,Let's Get Married,3,let's get married,let's get married,Match,3.0,match
Let's Get Married 2,Let's Get Married,2,let's get married,let's get married,Match,2.0,match
Let's Get Married 2013,Let's Get Married,20,let's get married,let's get married,Match,2013.0,Different
Let's Go To The 33rd Dimension - v 10,Let's Go to the 33rd Dimension,1,let's go to the,let's go to the,Different,33.0,Different
